title,adult,original_language,overview,tagline,genres,production_country,year
Educating Clea,1,8,"While working for a renowned sexologist, a young woman progressively discover and learn more about her own sexual appetite.",['Exploring Sexual Boundaries'],['Romance'],18,2018
The Intrusion,1,5,"A rapist posing as a traveling salesman gets into the house of an unsuspecting housewife, and attacks her. When her friend shows up, he does the same to her and then forces the housewife to join them.",['When a vulnerable woman is forced to commit an unthinkable act...'],"['Crime', 'Drama']",70,1975
Delicious,1,5,A man with a cold wife and a husband who can't keep his hands off the maid.,"[""There's only one woman who could satisfy them all"", ""and she's... Delicious""]","['Comedy', 'Fantasy']",70,1981
Problem Solver,1,17,"Action takes place in a peaceful small town. The laws of the possession of firearms are very strict here and order is enviable. However, the unexpected kidnapping of the mayor's son reveals the true cards of the matter - not everything is as good as it looks in this town. The rumour about the missing child spreads all around the town and reaches Problem Solver. He is the former town benefactor, a local hero who is undervalued and detached from society. Together with his team Problem Solver boldly dares to attempt the rescue of the mayor's son. However, the belief that some dangerous group of criminals may be embroiled in this dirty affair makes the matters all that more complicated. An unexpected call with mysterious instructions raises suspicions that a lot of challenges await for the towns peacekeeper. Unpredictable sequence of events, dirty language of characters, humour, action and contingencies will appear in the action comedy ""Problem Solver"".",['One Hero. One Small Town. A Lot of Problems. Who is Going to Solve Everything?'],"['Action', 'Comedy']",43,2015
Olympic Fever,1,5,"A struggling Olympic swimmer uses a special dietary supplement to improve her performance, drawing the attention of the Russian team.",['Get It From the Source'],['Comedy'],70,1981
Boob Science,1,5,"Five brand new SCORE babes in their first hardcore XXX DVD!  Two geek losers can't get girls, so they invent their own mega-busty woman! And then the trouble begins! Daphne Rosen stars as the superhuman guck doll. Newcomers Angel Gee, Eva Notty, Contessa Rose, and Aileen Ghettman make their XXX debuts. Maggie Green does her first hardcore girl-girl!","[""If you can't get a girl with big tits"", 'make her!']","['Science Fiction', 'Comedy']",70,2009
Anal Cuties 3,1,5,"Hard X is proud to present the third installment of this highly anticipated series, featuring the most adorable girls in hardcore anal action! Starring 19 year old cover girl Megan Rain, Marley Brinx, Cassidy Klein and introducing the “anal only” sensation Kylie Sinner, this volume is the hottest one yet. Anal Cuties Vol 3 is a celebration of youth and anal directed by the award winning Mason.",['Anal Cuties Vol 3 is a celebration of youth and anal directed by the award winning Mason.'],['Romance'],70,2015
Flight Attendants,1,5,"A porn comedy about airports, jets & horny flight attendants. Wild hi-jinks & dirty sex acts abound as beautiful flight attendants fight for air superiority in this deliciously dirty airplane fuck-fest.","[""If you liked 'Airplane' you'll love Flight Attendants!""]",['Comedy'],70,2009
Answered Prayers,1,5,"From acclaimed director Jake Jaxson, Answered Prayers is a profoundly layered seven-part morality play that goes where no other film in the adult industry has gone before -- The Banker, The Healer, The Bully, The Ascension of the Lamb, The Assumption of the Lamb, The Redeemer, and The Actor.","['Weaving spiders', 'come not here.']","['Drama', 'Thriller', 'Mystery', 'Romance']",70,2015
Stripper Pole,1,5,Riley Steele wants to surprise her husband Rocco Reed with a sexy new addition to their bedroom...a Stripper Pole! Unfortunately before he can even see it Riley is so turned on by the thought that she sexes up the lowly pole installer Erik Everhard. After hearing about her friend's new addition to the home Charley Chase fantasizes about working the pole and ends up working Manuel Ferrara's. When April O'Neil pops by for a visit she is soon sliding up and down Mick Blue's hard hose doing her best impression as a professional peeler. After all the hot and horny action the other girls have been receiving Tasha Reign wants in on the fun and sets up her own pole looking to get lucky.,['Riley invites you in for a swinging good time'],"['Romance', 'Comedy']",70,2012
Big Breast Nurses,1,5,"Nurse Abbey is trying to convince Dr. Tommy Gunn to change her schedule to the day shift in more ways than one. Sergio has erectile dysfunction and Nurse Crista has some unorthodox way of ""curing"" his problem. Nurse Jenny is tired of Jack not cleaning and arranging the surgery equipment. Meanwhile, all Jack the orderly can do is stare at her tits. Mr. Brooks comes in for a prostate exam and gets aroused, which in turn seduces Nurse Kenzi. Jack Lawrence has been paralyzed from a car accident... Nurse Sophie Dee notices his penis is till hard during a sponge bath.",['Just What The Doctor Ordered'],['Comedy'],8,2009
Ghosts of Paradise,1,5,"Section Nine operatives Batou and Togusa are on the trail of Major Motoko Kusanagi, who disappeared without a trace several weeks ago. As they dive deeper into Japan’s criminal underbelly in search of the Major, they uncover a conspiracy stretching all the way to the glittering spires of the Lion City – Singapore. It is here where Major Kusanagi has to infiltrate the headquarters of a gang rumored to be developing an illegal new Net program set to revolutionize the sex industry. Can Motoko save her childhood friend from being an unwilling guinea pig, or will she lose herself in this depraved new world and become another Ghost of Paradise…",['Deep dive into the darkest reaches of the NET.'],"['Science Fiction', 'Animation']",70,2018
Blonde Justice 3,1,5,"Janine is a dancer in the Blonde Justice Bar. She is also the most beautiful woman on this planet. And every barfly knows it, especially April. April, it seems, has just left her Wall Streeter husband, moved to California, and longs to experience the joys of lesbianism. But she won't long for long, because Janine's in the picture. Join our Bud Lee in a revisit to one of the most popular series in adult, starring porn's reigning queen of screen, Janine. As she takes the bar, Blonde Justice style.",['Janine Takes the Bar.'],['Drama'],70,1994
Luxure: Borrow My Wife,1,8,"For these couples, sex is worth it only if it’s shared. Whether with another man or another woman, they can’t conceive making love to only one partner at a time. The only rule is that the husband can watch his wife taking pleasure with someone else.  Adriana Chechik, a pretty hot American woman with a very high libido is married to a man who loves to watch her fuck other men. This spices up their already busy sex life. Adrian is a young woman any man would like to have: pretty eyes, pretty smile, a body to die for and an immoderate taste for sex. What more could you ask for? The couple’s sex games have no limits. Today, Adriana’s husband drove her to the doors of a luxurious villa.",['Sex is good only if it’s shared'],['Romance'],18,2019
XConfessions,1,5,"Part of an ongoing series, this collection showcases 10 explicit short films directed by Erika Lust: showcasing her trademark cinematic style, fresh-faced performers and authentic stories created by the public. Included: I Fucking Love Ikea; Let's Make a Porno; Sadistic Trainer; A Blowjob is Always a great Last Minute Gift Idea; I'm a Verry Badx Secvretary; Obsessed; I Pegged My Boyfriend; Sit Down, Shut-Up and Watch; Hold Me So Tight It Hurts; My First Time Eating Oysters and Pussy.",['10 anonymous sex confessions turned into explicit short films.'],['Drama'],62,2013
Hollywood Cowboy,1,5,"New to Hollywood, a young cowboy wants to be a star. He meets an exiled director and the cowboy vows to help him regain his status. However, the Cowboy has to do a thing or two out of the ordinary to raise the budget for the film.",['He USED to like girls until...'],['Drama'],70,1972
Sharon,1,5,"Pretty young country girl Sharon has a series of sexual adventures with a variety of different people, including friends, relatives and even strangers she's just met.","[""A beautiful country girl with a down-home appetite for lovin'!""]",['Comedy'],70,1977
4 Some,1,5,"Angie and Mark Wood are a happy, upper class couple who have ""almost"" everything. When they decide to spice things up a bit by having a foursome with a mysterious couple it's all fun and games at first. Soon the Anderson's new found friends Dillon and Sophia become more than they bargained for as the relationship between the two couples becomes tangled in suspicion, deceit, and sexual indiscretions. Mark and Angie's perfect little life spirals out of control ... Saving their marriage becomes the only goal ... three's a crowd, but a foursome can be disastrous.","[""Three's a crowd"", 'but a foursome can be disastrous....']",['Drama'],70,2010
Dilemma: Some Adults Story,1,22,The lurking instincts of four adults to seek pleasure leads them to inescapable pathetic situations and a tragic death.,['Pleasure is mine.'],['Crime'],32,2021
Women Seeking Women 151,1,5,"What do Victoria June, Stephanie West and their girlfriends all have in common? They're sexy Women Seeking Women! Join them on their hunt in the 151st edition of your favorite Sapphic series! Sultry massages, bondage, face sitting, 69's and even tit-to-clit rub downs are just some of the raunchy acts these ladies engage in to drive each other into an orgasmic frenzy like never before!",['Restless Hearts Searching For That One Perfect Woman!'],['Romance'],70,2018
The Coven,1,5,It's about personal sex slaves and mysterious witches dens. It's about a spirit who's been blessed by the moon and the lovers who desire her. It's about visions of lusty- lingering imaginings. It's about excitement and arousal and how the supernatural can ignite the senses. And it's about Janine- the most beautiful enchantress in adult. The Coven. It's bewitching . But it's definitely not Bewitched.,"[""She's always been Wicked. Now she's a Witch.""]",['Fantasy'],70,1993
My TS Student,1,5,"Middle aged married couple Magdalene St. Michaels and Rob Yaeger have fallen into a rut, and sensitive Rob fears that Magdalene is losing interest in their sex life. His suspicions grow when he overhears Magdalene's secret phone calls with her teenage student (Chelsea Poe). The beautiful but troubled Chelsea is in love with Magdalene, and the nurturing older woman struggles with her growing desire for the needy young student. But Chelsea may not be as vulnerable as she seems, as the TS nymphet hatches a plot to get Magdalene all to herself. Starring Chelsea Poe, Magdalene St. Michaels, Sunday Valentina, and Rob Yaeger.",['This TS teen will stop at nothing to get the sex she craves.'],['Romance'],8,2015
Marriage and Other Four Letter Words,1,5,"Can a young and restless married couple find satisfaction living in the suburbs? Desperate, they finally decide to expand their horizons, and our swinging twosome engage in all kinds of different couplings. In the end they find that ""true love is the best thing yet!""","[""It's Been a Long"", 'Hot Honeymoon... And The Fun Is Just Beginning!']",['Drama'],70,1974
XConfessions 3,1,5,"This digital download showcases 10 explicit short films inspired in confessions from the public, selected and directed by Erika Lust. Included: Boat Buddies With Benefits; A Weekend in the Garden of Eden; Take Me Drunk I'm Home; Romance Bullshit; Cinéma X; Hello, Pool Boy!; I Wish I Was a Lesbian; Fräulein O.; Rush of the Forbidden; El Que No Ama No Conoce A Dios.","['A promise of adventure', 'an invitation to laugh', 'to breathe', 'to fuck... to LIVE!']",['Drama'],62,2014
Catfished,1,5,"A sexy divorcee yearns for love, but is looking in all the wrong places. Her ex has already moved in between the legs of a much younger busty blonde, and her best friend is happily consummating her marriage. Nevertheless she has one guy, but he's mostly interested in screwing her than committing. In a desperate attempt she makes an online profile and meets an incredible guy. They've tried to meet several times, but sadly never do. She's sexually frustrated, but can't get away from sex because her horny neighbors can't stop fornicating! In the end, she demands they meet, but will she find the man of her dreams, or discover a lie?",['Online Dating Is Not What You Expect.'],"['Romance', 'Drama']",70,2015
Old Friends,1,5,"A backyard barbecue turns awkward as old flames flare up! Bill Bailey invites his hot new girlfriend, Kayden Kross and her sexy best friend Riley Reid over for an exciting afternoon. While Riley takes Erik Everhard on a wild bedroom romp, Kayden runs into Bill's roommate, her ex-boyfriend Manuel Ferrara! Although Kayden enjoys the hot sweaty sex with Bill, she still has a hunger for Manuel's mega-sized manhood. It's not long before Manuel is deep inside of Kayden once again, pumping her full of pleasure! Meanwhile, Kendall Karson sexes up Erik &amp; Bill has a side affair of his own with his wet and willing ex, Angelina Saige, who is none other than Kayden's roommate. The flames are still burning with these Old Friends!","['Old friends', 'make better lovers!']","['Comedy', 'Romance']",70,2012
Don't Fuck My Sister,1,5,"James Deen and Manuel Ferrara share a place with their buddy Erik Everhard. Erik is too caught up deep dicking his current duck buddy Jada Stevens to remember his sister Kayden Kross is coming to spend the weekend with him. Alison Tyler shows up at the house mad at her boyfriend, James, who stood her up for breakfast. To calm her down, he takes a dip into her panties to stretch her tight wet hole. Erik leaves Kayden with the roommates as he ventures off to Vegas with Jada. Manuel can't resist the lure of the exquisite beauty and is soon balls deep in Kayden's pretty pussy. It's not long before Manuel's girlfriend Lily Carter shows up for a shopping excursion and a hardcore hook up. Leaving James alone with Kayden leads to only one thing, a hot and horny pounding. All the guys get a taste of Kayden Kross no matter how much Erik pleads ""Don't Fuck My Sister!""","['When her brother is away', 'Kayden is at play!']",['Comedy'],70,2013
Self Pic,1,5,"Sexy Selena Rose loves taking nude pictures of her beautiful body with her cellphone, but she never imagined snapping dirty photos would get her spreading her pretty thighs for Manuel Ferrara's big rod injection! Jynx Maze, Manuel's gorgeous girlfriend refuses to pose naked for his perverted needs, but Selena Rose is ready and willing to drink up his creamy eruptions as well as thick stud Nacho Vidal! Horny and hung Erik Everhard bangs hot Riley Steele and little tease Lexi Belle for his naughty nude collection of cellphones pics too!","[""She's not afraid to show you everything""]",['Romance'],70,2012
Sylvia,1,5,"Sylvia is seemingly a quiet, reserved, saintly person living on a quiet, reserved well-manicured street in upper-middle class suburbia. However, Sylvia is hiding a secret - she has a multiple promiscuous personality disorder. However, one of her other persona's is about to cross the line.","['7 Faces', '7 Appetites', '7 Times The Action... In The Body Of One Woman.']",['Drama'],70,1976
Trading Mothers for Daughters,1,5,"Maternal love goes to the XXX-treme, when lustful mothers lead by perverted example, showing their horny, jealous daughters the joy of unbridled sex. The hungry, gorgeous MILFs, Diamond Foxxx, Dyanna Lauren and Lisa Ann, get their poundings deep and hard so they can share their expert and wet techniques with their budding blossoms of hotness. Naughty daughters and rivals, beautiful Jesse Jane®, Riley Steele™, Kayden Kross, Selena Rose™ and Vicki Chase, have a wild all-orgy after handling the needs of their hung boyfriends, Manuel Ferrara, Ben English, Danny Mountain, Evan Stone and Tommy Gunn, deliver lurid, wild, uncontrolled play, igniting this sizzling drilling game played until mommy has had her fill and daughters drink from the fountain of youthful bliss.",['Getting these hotties means scoring with their mom first.'],"['Comedy', 'Romance']",70,2012
Housemates 2,1,5,Artist James moves to the UK in search of his ex-girlfriend and finds himself sharing a house with four incredibly attractive women. Can this hopeless romantic learn anything from his new housemates in order to find true love?,['New House. New Rules.'],['Romance'],69,2015
Roseanne: The XXX Parody,1,5,A explicit parody based on the 80's series 'Rosanne'.  The domestic wonder is preparing for a nice family meal when she is finds out that everyone around her is having sex.,"[""The 80's lost their innocence but not their sense of humor!""]",['Comedy'],70,2010
Taboo XII,1,5,"Our Heroine goes home with a man that she met at a sex party.  Later, she tries to leave.  Her rescuer turns out to be more than she bargained for.",['Join the club. If you dare.'],"['Drama', 'Romance', 'Thriller']",70,1994
Deep Analysis,1,5,"Every family has a secret, but none run quite as deep as the Von Skeets. A prestigious family of psychologists, the Von Skeets are known for their unconventional methods. Through atypical perverted therapy, the Von Skeets entice the Badcoxx family to explore their darkest, most intimate feelings, setting them down a path of self-discovery. A story filled with deceit, manipulation, lust, and sexual freedom, Deep Analysis is an intense thriller that pushes the boundaries of sexual taboos and redefines sexual norms forever.",['Every family has a deep secret.'],"['Drama', 'Thriller']",70,2022
There's Something About Sasha Grey,1,5,"She's tight and tasty, crazy about cock and loves taking it in every hole. There is just something about Sasha Grey, so watch her spread wide, and get stuffed with cock while we try to pin point exactly what it is. Did we mention double penetration?","['Find out what', ""in 14 of Sasha's hottest scenes!""]",['Drama'],70,2012
Pretty Dangerous,1,5,"Ivy Black, a sultry super criminal, sets out to rule the world along with her band of bodacious thieves. Hot on their trail is a cynical Irish cop and his newbie sidekick.","[""There's a storm aheadin' this way!""]","['Action', 'Comedy', 'Crime']",70,2015
Captain Lust,1,5,"Handsome Jack and his sister Anne assume secret identities to prove that Captain Lust was responsible for the death of their father, The Count of Monte Cristo.",['Arrow Productions brings you high seas erotic adventure.'],"['Adventure', 'Action']",70,1977
Dust Unto Dust,1,5,"A white child is orphaned in the desert by his dying parents, grows up alone, and is found by a Native American and his half breed brother, from whom he finally learns about love. The two men are outcasts from their own tribe, having rejected making love to women and enjoying only male-to-male sex.",['The happy hunting ground... where their love began!'],"['History', 'Western']",70,1972
Pleasureville,1,5,"Maggie and Billy finally moved into their new home in a tiny, quaint, cookie-cutter town. While the move is everything that Billy has wanted, Maggie isn't so impressed. After finding an old black and white movie left behind by the previous owners, the couple begins to watch the movie and are then mysteriously transported into the past - a black and white past - which quickly turns into a blooming scene of color after the couple fucks their way through the innocent town.",['A Digital Playground XXX Parody'],"['Drama', 'Fantasy']",70,2018
Showdown,1,5,Three dimwits show up at the Bar Nothing Ranch looking for a dude ranch but find instead a cathouse.,['Hot Pistols. High Nooners.'],['Western'],70,1985
Dirty Little Secrets,1,5,"When a tight-knit group of hot sorority sisters realize that their new boyfriend is the same guy, the girls hatch a plan to exact revenge. As they confront him, a bizarre - but tragic - turn of events occur - the two-timing Romeo winds up dead. Now the girls are faced with a dirty little secret. Can they keep it to themselves or will karma even the score?","['Dirty little secrets', 'dirty little lies.']","['Drama', 'Thriller']",70,2012
A Black Man Homestay NTR Edition Where The Boyfriend's Penis Is Unsatisfactory And Asks For A Super-Class Penis. - Mizuki Yayoi,1,14,A Black Man Homestay NTR Edition,['DASS-090'],['Drama'],40,2022
Flesh Pond,1,5,"Two men escape from a county jail and hold a group of beautiful swingers hostage in a remote brothel. As sexual chaos ensues, can anyone stop the orgies before it's too late?",['Consumed by pools of passion...'],['Crime'],70,1983
Be My Toy Boy,1,5,These five MILFs like their men young. Follow them here as they seek out fresh flesh to play with and watch as they show the young bucks the benefit of their experience…,['Produced and directed by Anna Span'],['Comedy'],69,2009
Le Beau Mec,1,8,"Introduced to the homosexual lifestyle by soldiers, Karl later enlists in the military. After leaving the service, Karl plunges into civilian life as an insatiable loner desperately trying to find himself.",['The French answer to Superman!'],['Drama'],18,1979
Den Of Dominance,1,5,"A man enters a Times Square bar, only to find that the bar doesn't serve alcohol. He discovers that the bar is really an S&M parlor, and it isn't long before he's indulging himself in its activities.",['Bibi - Plaything in a prison of lust!'],['Drama'],70,1983
"Slutty Gal That’s Being Held Back A 3rd Time Has Set Her Eyes On Me, When Class Was Over She Played Around With My Dick, But Our 10-Minute Break Wasn’t Enough To Get Off, So After Being Hard The Whole Time In Class,",1,14,"When I got used to my new class after advancing to the next grade, a strange girl entered the classroom. Rumor has it that she's been repeating a grade three times, and she seems to like me. I was forced to keep my erection during class and my hornyness was on the verge of exploding. However, it was just a prelude to after school nuki hell... Ejaculation was good up to twice, but it was overtaken three times and four times! In an unmanned classroom, the sound of the piling piston reverberating in a dizzying trance. !",['After School We Fuck So I Can Finally Drain My Balls. AIKA'],['Drama'],40,2021
Come Of Age,1,5,"When a pretty, young country boy with long, golden hair and bronze colored skin arrives in Hollywood from Nebraska, he is quickly introduced to the joy of gay sex during a series of highly capricious encounters involving other sexy young men.",['Keep your eyes on this boy! And his buddies… He is about to...'],['Drama'],70,1971
Zoomerang!,1,5,"Gary and Jack are longtime companions, yet their daydreams tell another story. In their dreams, Gary sucks and fucks a chiseled Adonis who comes to life, while Jack remembers a psychedelic, 1960's orgy where he deep throated multiple men (and a Marilyn Monroe impersonator) with great gusto. Back in reality, Gary has sex with a close friend of Jack's, which brings out major issues in their relationship.",['Lovers gone astray!'],['Drama'],70,1974
Seduced by Mommy 2,1,5,"Don't be afraid to tell mommy that you're attracted to other women, because mommy has secretly been waiting for you to tell her. It's about to get hot in here as these sexy, pussy-thirst quenching lesbians get Seduced By Mommy.",['Motherly love is like no other!'],['Romance'],70,2011
Hitler's Harlot,1,5,"In Nazi Germany, a blonde Gestapo dominatrix and her sadistic male assistant sexually abuse and torture three woman and one man suspected of aiding the resistance to get them to talk.","['The vicious', 'deviant sex-starved Nazi heavies of this 1970’s filth-fest give cold-blooded SS officers a bad name!']",['Crime'],70,1973
Deception,1,5,"Detective Alicia Wallace is a valuable and respected officer on the LAPD… until her husband is murdered. With a crime hitting so close to home and no leads in sight, accusations begin to fly. Even her own partner suspects something is amiss. When an escaped criminal resurfaces, no one is prepared for just how deep the deception runs.",['Things are never what they seem.'],['Crime'],70,2015
Falling for You,1,5,"Jesse Jane loves her life living with friends Manuel Ferrara and Erik Everhard. Her boyfriend, Tommy Gunn on the other hand isn't too happy with her. Though they share an amazing sex life, Tommy seems over the relationship. As a tennis instructor, Manuel is at the mercy of his horny student Missy Martinez who loves to play with his racket and balls. He needs to keep dipping into her to make sure he makes ends meet. For Erik to make rent, he buys a massage table with hopes of a new income. Instead, he is the recipient of happy endings by super hotties Pressley Carter and Ella Milano. After things fall apart between Jesse and Tommy, will Manuel and Jesse realize they were meant for each other?",['The right girl is right there!'],"['Comedy', 'Romance']",70,2012
Stars,1,5,"Told as a series of memories during her final months as a teenager, a woman finds her own path into professional sex work after being manipulated by an older man.",['Based on a true story.'],['Drama'],8,2022
Rekindled,1,5,"Bob and Sandy, like most young couples, are busy in their respective jobs and worried about finances. Unfortunately, all the stress has put a strain on their relationship…especially in the bedroom. They separately confide their problem to their friends, who offer the same advice to both of them…""be more in control!"" Can an Alpha Male and Alpha Female survive in the bedroom or will Bob and Sandy try some other sexual antics to Rekindle their relationship?","[""Samantha Saint is Smokin'...""]",['Romance'],70,2013
The Matchmaker,1,5,"Casey Collins is the Matchmaker. She can find anyone the perfect partner. The ultimate professional, Casey always puts her clients first. Until now.",['A very personal service'],['Romance'],69,2014
Wanderlust,1,5,"A series of bad choices, a less than desirable home life and a recent brush with the law have 19 year-old Riley desperate for a way out. With dreams of a better life, she heads to Hollywood where she comes to realize that the ""grass isn't always greener"". Disillusioned, she packs her bag and takes off once again. Will Riley find out what she's looking for or will she be just another statistic?",['Be Careful What You Lust For...'],['Drama'],70,2013
The Hitman: Love is Deadly,1,5,"What do you do when you fall in love with the woman you were hired to kill? A cold-hearted husband and his partner-in-crime lover decide that murder is the only way to collect on a 2.5 million dollar insurance policy. They hire a contract killer to carry out the task, but things backfire when the hitman suddenly grows a conscience and has second thoughts.",['Poison Hearts and Crimes of Passion'],"['Crime', 'Drama', 'Romance']",8,2022
Kill Bill: A XXX Parody,1,5,"Venus, a former assassin, awakens from a year-long coma from the loud moans of Belladonna, another assassin, screwing the security guard. Her boss and ex-lover Bill aka the Florist attempted to kill her using his team of elite assassins aka Flowers Belladonna, Tiger Lily and Black Orchid. With an immense yearning for revenge, she’s not going to rest until she kills every single flower and most importantly, kills Bill. This parody includes 6 hardcore sex scenes and an all-star cast including Dani Daniels, DP contract star Eva Lovia, Misty Stone, Bridgette B. and Ash Hollywood!",['Pussy is a hole best served wet.'],"['Comedy', 'Action']",70,2015
Elegance,1,5,"Gustave Legaspier, the greatest artist in nineteenth century Europe, has lost his inspiration and his passion. After years of being surrounded by gorgeous, half-dressed models, he finds he is bored by the sultry pouts, perfect bodies and flawless faces, which are unfortunately accompanied by Lackluster, superficial personalities. It takes mysterious and haunting cello music to revive his fading art and the beautiful cellist behind it to awaken his dull heart.",['A Tale of Lust. Greed. And Shameless Pleasure.'],['Drama'],70,2009
Who's Nailin' Palin 2,1,5,"The hottest political MILF is back! Sexy Sarah gets voted as president in 2012 and cant wait to spread her legs in that oval office! She starts her term with a good fuck with her secret service agent and gets it on with a sexy journalist. Lots of bangin action here, and its all OFF the record!","[""Welcome to Sarah's oval orifice!""]",['Comedy'],70,2011
Private Schoolgirls,1,5,"After Caroline Lamont is expelled from her school for making out with in the men's room, she finds herself enrolled in Mrs. Marmelstein's strict all girls' academy.  Will she learn how to behave or will her escapades continue at the Private School for Young Ladies?","[""They'll do anything to get an A+""]",['Comedy'],70,1983
The 8th Day,1,5,"Time is running out in this apocalyptical erotic adventure. Awakened from a cryogenic slumber, Samantha finds the world she used to know is gone. Lost in a strange city overrun by brutal tribes of proto-humans and teeming with sexual fervor, Samantha is rescued by a scrappy scavenger girl. Samantha's only hope for salvation lies in the hands of the charismatic ruler of a desolate desert village, known as Elysium Fields. But when Prince Amir takes Samantha under his wing, he discovers who she really is and decides that she must make the ultimate sacrifice. Time is up. Time is over.","['In a lawless new world', 'sex is the only salvation']","['Adventure', 'Science Fiction']",70,2009
Lesbian Seductions: Older/Younger 75,1,5,These ladies lust for other pussy and they don't hide it one bit. They'll ravage a drenched slit like nobody's business and make that lucky lesbian lady cum like she never has before. This is true sapphic passion for pussy brought to you by Girlfriends Films.,['The revealing twisted road from desire to pursuit and surrender.'],['Romance'],70,2022
Impulse,1,5,"April (Stormy Daniels) and Michael (Danny Mountain) have a picture perfect marriage. Then one night, a terrible car accident changes everything… especially April. Once being released from the hospital, she begins to spiral out of control. Convinced she has just found a new zest for life, April begins to experiment sexually. As time goes on, her husband suspects something much more sinister is happening. Will he find the answer in time or will April's impulses be her demise ...?","[""She's...Out...Of...Control.""]",['Romance'],70,2015
Mami Culo Grande 8,1,5,"Justin Slayer, The legendary Black Pipe Layer, has returned with his multi-award winning series! It features: Angelina Castro, Brenda Foxx, and a host of other big booty stars!",['The legendary black pipe layer.'],['Action'],70,2010
Making Ends Meet,1,5,"Suburbia interrupted! Paul and Amy are a typical married couple raising a rebellious millennial daughter confused about her sexuality. When Paul gets demoted from his high paying job, panic ensues and Amy decides she needs to get a job to help out. After discovering that the mother of her daughter's lesbian girlfriend is a sex worker, Amy jumps in with both feet to save the family.",['From tophy wife to working girl.'],"['Romance', 'Comedy']",70,2018
Cursed,1,5,"Ryan lives a simple life of banging as many hot chicks as he can, until one night his world turns upside down. He has been cursed to switch sides and experience life on the other side of the coin as a hot chick. Will Ryan learn his lesson or stay a female for the rest of his life?","[""He's headed on a gender bender.""]","['Comedy', 'Fantasy']",70,2018
The Stillest Hour,1,5,"When a straight-laced psychotherapist takes on an attractive new client with a free-spirited yet artistically tortured lifestyle, his good will and professionalism are tested when the man begins unloading his anxieties over a boy who appears to be stalking him. Through a series of gut-wrenching sessions -- each one devolving into various states of erotic mania -- the tables are flipped when the boy becomes separately involved in the personal lives of both men.","['Starring Big Brother contestant Will Wikle', ""'The Stillest Hour' is a twisted new take on the psycho-sexual thriller that explores the power of perception and reality.""]","['Drama', 'Romance', 'Thriller']",70,2016
Boobwatch 2: Malibu Rocki,1,5,"Paradise Found...Sun, Surf, Sand, and Sex. From the beaches of Malibu to Zuma like a pink tidal wave the awesome Rocki Roads and her team of web dream queens Davia, Randi, Bunnie and Nici do it to it, from a heart-stopping mouth to mouth tongue bath to a wild anal romp in the waves to a three-way. In the sheets these dedicated lifeguards throw caution to the wind as well as their clothing to keep the beaches of So. California the wettest and the wildest in the world.",['Sex On The Beach With A Twist...'],['Romance'],70,1997
Erotika,1,5,"A hungry spirit in the night. A breathless voice in ecstasy. The one and oly. The woman of your dreams. She is the goddess, the ultimate fantasy ... She is the spirit of Erotika. Not just a beautiful vision or a burning desire, but a way of being and perceiving the world. What heavenly powers make someone so ethereal, yet so lustful? What magic of hell makes seduction so divine?",['A Passion for Life...A Burning Desire'],"['Drama', 'Romance']",70,1994
Innocents Abroad,1,5,"A look at the sex trade throughout western Europe in the wake of the sexual revolution, Innocents Abroad allows deRenzy's camera to investigate live sex shows, prostitution, and more, while contrasting the Europe of old with the progressive attitudes of the early 70s.",['Filmed Entirely on Location in the Sex Capitals of the World'],['Documentary'],70,1971
A Nanny Desired,1,5,"Megan (Kenna James) takes on a new job working as a nanny for childfree couple, Joanne (Casey Calvert) and Evan (Jay Smooth). If the lack of child wasn't enough of a sign, over the course of a week Megan soon realises that all is not as it seems with her new bosses. Is she really there to work or do they have another idea in store for her? When Megan notices Joanne's heightened interest in her she feels strange, but she can't put her finger exactly on the feeling. Is she unnerved, or is she aroused? Jacky Saint James directs this explicit adult film that explores sexual urges felt in an open marriage.",['When help is desperately wanted'],['Romance'],8,2019
Cheating!,1,5,"Have you ever done something dishonest to upset your girl? Well, we hope you haven't, because cheating is something a woman can do a lot better than you. Take Barbi and Kelly for example, when they found out that their men were turning from card sharps into wolves, they set them up and took away all of their dishonest earnings.  This is a fun-filled sexual comedy that delivers the goods for both men and women. It's an erotic view on a favorite pastime among couples - cheating! Nina Hartley (Barbi) and Jeanna Fine (Kelly) let us know that you cannot get away with it and Ron Jeremy (Dover) with Tom Byron (Hawkins) always find a reason to try - cheating!","[""Cheating Is A Dirty Business... But Somebody's Got To Do It!""]","['Crime', 'Romance']",70,1987
The Cool Crowd,1,5,"Sexy college student Selena Rose knows all the right people and all the right parties. The place to be is at the Cool Guys' house, where Manuel Ferrara and his pal Erik Everhard live. To help her new classmate BiBi Jones out, Selena takes her over to the house for lots of fun and even more fucking. They meet the beautiful Kortney Kane after Manuel gives her a deep drilling with his hot rod. It's Erik who sets his sights on banging BiBi and after some begging, she gets him off to get rid of him. Party guy James Deen scores with stunning Ella Milano. Popular girl around the house, Selena, is always looking for a hook-up and Mick Blue gives her a hard pounding. Meanwhile Manuel falls for BiBi, and wants more than a one night stand.",['...where the sex is hot and the girls are hotter.'],"['Romance', 'Comedy']",70,2012
Asian Sex Buffet,1,5,All you can eat! The best raw sushi in town!,['All you can eat Asian punani!'],['Fantasy'],70,2014
The Nurses,1,5,Creepy Mr. Wexler is told to give a sperm sample but can't get it up. He asks a nurse for assistance.,"[""It's what goes on... before the anesthesia wears off!""]",['Comedy'],70,1971
